"","price","bedrooms","bathrooms","Sqft_of_home","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","Sqft_of_livinge_room_2015","Sqft_of_lot_2015","Median_Income","Mean_Income","population","people_employed","people_educated","bachelor_degrees","grad_degrees","log_p"
"8303",325000,3,2.5,1870,3480,2,0,0,3,7,1870,0,2002,2160,3480,73330,94174,33944,18957,24046,6177,2986,12.6915804613119
"8305",256500,3,2,1320,8568,1,0,0,3,7,1320,0,1993,1600,8463,89352,102333,44894,23934,31039,6640,2815,12.454883943593
"8309",317000,4,2.5,2160,8049,2,0,0,3,9,2160,0,1988,2490,8995,71555,85389,32194,15530,21493,3623,1278,12.6666570528594
"8310",450000,3,1.75,1400,13775,1,0,0,3,8,1400,0,1963,2200,10450,90588,106180,21568,10783,14892,4806,2727,13.0170028617465
"8311",225000,2,2.5,1560,5333,1,0,0,3,5,780,780,1947,1010,4800,61736,75782,22659,12062,16157,3521,1623,12.3238556811866
"8312",5e+05,5,2,2300,7897,2.5,0,0,4,8,2300,0,1956,2030,7902,53836,69529,46329,24878,34944,9717,4648,13.1223633774043
"8313",207000,2,1,820,4860,1,0,0,5,6,820,0,1955,1240,6000,55725,76481,44839,21938,31643,6978,4482,12.2404740722475
"8314",474900,3,1,1630,8308,1.5,0,0,3,7,1630,0,1948,1170,8308,58429,79111,26730,12973,18034,3308,1610,13.0708595345372
"8315",515000,3,2.5,2010,7200,2,0,0,3,8,2010,0,1994,1970,7202,90588,106180,21568,10783,14892,4806,2727,13.1519221796459
"8317",725000,4,2.75,2420,10962,1,0,0,3,8,1530,890,1977,2620,13200,79579,98318,26269,14444,19103,7289,4937,13.4939269338368
"8318",314950,3,2.5,1690,4533,2,0,0,3,7,1690,0,2003,1830,5175,96134,107851,34362,16520,22542,5616,2160,12.6601691750501
"8319",375000,3,2,1410,10078,1,0,0,4,6,1410,0,1983,2090,9202,106545,144116,22779,11864,15725,5230,3141,12.8346813049525
"8321",689000,3,1.75,2200,9840,1,0,0,5,8,1500,700,1978,2410,9623,113778,152406,37519,18235,25978,9109,6951,13.4429965499958
"8322",525000,3,2.25,1290,1182,2,0,0,3,8,1000,290,2006,1300,1169,75155,103436,23655,17991,19623,8339,5895,13.1711535415738
"8323",360000,3,1.5,1060,6232,1,0,0,4,7,1060,0,1968,1120,5379,55725,76481,44839,21938,31643,6978,4482,12.7938593104323
"8324",425000,3,1,1240,5750,1,0,0,4,6,1240,0,1948,1240,5750,77781,103895,23968,13416,18608,7160,4064,12.9598444479066
"8325",239950,2,1,1280,5500,1,0,0,3,7,1280,0,1949,1270,5500,55725,76481,44839,21938,31643,6978,4482,12.3881858472864
"8326",577500,2,2.5,2330,3000,2,0,3,3,8,2330,0,1915,1760,4000,62633,93145,28302,16189,21495,6420,3829,13.2664637213781
"8327",615000,3,1.75,2360,7291,1,0,0,4,8,1360,1000,1948,1860,5499,90625,106952,15415,9096,12025,4487,2404,13.3293775467887
"8331",315000,2,1,770,6731,1,0,0,4,6,770,0,1943,1120,9212,75839,93844,34081,17844,25173,6790,4418,12.6603279178078
"8332",250000,4,2,2600,9000,1,0,0,3,8,1410,1190,1959,2600,7200,49591,64172,36368,17036,23244,3865,1371,12.4292161968444
"8333",250000,4,1.5,1220,4900,1,0,0,3,6,1220,0,1942,1410,3000,55725,76481,44839,21938,31643,6978,4482,12.4292161968444
"8335",358000,3,1,1150,4681,1,0,0,3,7,1150,0,1955,1150,6800,53836,69529,46329,24878,34944,9717,4648,12.7882882653828
"8336",262000,3,2.5,1700,6200,2,0,0,3,8,1700,0,1997,1720,6205,74144,89981,42380,20347,27351,6093,2792,12.4760997827432
"8337",5e+05,3,1.75,1220,7370,1,0,0,4,7,1220,0,1964,1580,8213,86005,120029,24751,12214,17928,6228,3554,13.1223633774043
"8341",235000,3,1,960,5030,1,0,0,3,7,960,0,1955,1460,5400,55725,76481,44839,21938,31643,6978,4482,12.3673407931263
"8342",545000,3,1,960,5030,1,0,0,3,7,960,0,1955,1460,5400,55725,76481,44839,21938,31643,6978,4482,13.2085410736454
"8343",350000,3,1,1010,9360,1,0,0,3,6,1010,0,1981,1470,9360,105449,140627,36105,19304,26215,10665,6318,12.7656884334656
"8344",320000,2,2.25,1550,1827,2,0,0,3,8,1550,0,2008,1420,1826,53848,67124,24603,13130,17270,4080,1622,12.6760762747759
"8346",875000,3,2,2350,6000,1.5,0,0,4,8,1990,360,1922,2010,5040,75155,103436,23655,17991,19623,8339,5895,13.6819791653398
"8347",325000,3,1.5,1310,2998,2,0,0,3,7,1310,0,1998,1310,2997,62633,93145,28302,16189,21495,6420,3829,12.6915804613119
"8348",756000,4,2.25,2160,5600,1,0,0,5,7,1080,1080,1947,1850,5150,73794,122395,23912,15342,17421,7218,5057,13.5357966551617
"8349",319000,4,2.5,2510,7992,1,0,0,3,8,1610,900,1978,2030,7992,49591,64172,36368,17036,23244,3865,1371,12.672946381767
"8351",330000,2,1,1129,3840,1,0,0,3,7,1129,0,1953,1300,3880,53848,67124,24603,13130,17270,4080,1622,12.7068479334427
"8353",532000,3,1,2360,5012,1,0,0,3,7,1560,800,1964,1690,4800,77781,103895,23968,13416,18608,7160,4064,13.1843987683238
"8354",775000,3,2.5,2480,5007,2,0,0,3,8,1960,520,2014,1650,7806,92316,108574,31921,19236,23976,9337,6322,13.5606183083355
"8355",410000,3,1.75,2160,4000,1,0,0,3,7,1080,1080,1953,1260,3200,62633,93145,28302,16189,21495,6420,3829,12.9239124386805
"8356",205000,2,1.75,1740,5100,1,0,0,3,6,580,1160,1915,1440,5100,53143,71222,24681,12269,16958,3293,1439,12.2307652581205
"8357",585000,4,2.5,2430,6766,2,0,0,3,8,2430,0,1999,1820,6772,92938,124737,19328,9763,14653,5414,3500,13.279367126214
"8358",255000,2,1.75,1950,8200,1,0,0,3,8,1950,0,1975,2370,8000,72303,86045,50065,25296,32832,6007,3011,12.4490188241406
"8359",415000,2,1,910,3750,1,0,0,3,7,910,0,1904,1160,4000,92316,108574,31921,19236,23976,9337,6322,12.9360337992128
"8360",459000,4,2,2360,7080,1,0,0,5,6,1180,1180,1925,1340,7200,68342,92756,22849,12110,16469,5243,2623,13.0368054890427
"8361",354000,3,1,1130,11250,1,0,0,3,7,1130,0,1965,1410,11250,81694,102856,42590,23454,30736,10266,5543,12.7770521921159
"8362",587000,3,2.5,2150,5193,2,0,0,3,8,2150,0,1995,2150,7172,105449,140627,36105,19304,26215,10665,6318,13.2827800988102
"8364",570000,3,1.5,1300,7287,1,0,0,4,7,1300,0,1965,1300,9129,105449,140627,36105,19304,26215,10665,6318,13.2533916398107
"8366",185000,4,1,1380,6700,1,0,0,3,7,1190,190,1928,1380,8292,49188,62468,32569,15655,21948,2957,1223,12.1281111040605
"8367",262500,3,1.5,1610,10291,1,0,0,4,7,1610,0,1961,1410,7729,62842,82984,21567,10562,15210,2174,895,12.4780063610138
"8369",362500,3,1,1520,9507,1,0,0,3,7,1520,0,1954,1360,7219,54561,77284,39254,21120,28365,8769,6040,12.8007797532769
"8370",536000,3,2.5,1990,7397,2,0,0,3,9,1990,0,1993,2210,7397,106545,144116,22779,11864,15725,5230,3141,13.1918894400529
"8371",425000,5,2,2500,7804,1.5,0,0,3,7,1570,930,1921,1170,7676,58429,79111,26730,12973,18034,3308,1610,12.9598444479066
"8372",435000,3,2.25,1890,7200,1,0,0,4,7,1230,660,1973,1970,8101,54561,77284,39254,21120,28365,8769,6040,12.9831013100708
"8373",435000,5,2,1840,9240,1,0,0,4,7,1540,300,1942,1200,5250,53836,69529,46329,24878,34944,9717,4648,12.9831013100708
"8374",4e+05,2,1,1220,6300,1,0,0,3,7,760,460,1942,1850,4886,90625,106952,15415,9096,12025,4487,2404,12.8992198260901
"8375",446000,2,1.5,1370,1221,2,0,0,3,8,1080,290,2008,1560,2081,60563,89761,35052,22656,25268,9679,6099,13.0080742310022
"8377",3e+05,3,2.25,1760,5421,2,0,0,3,7,1760,0,1991,1570,6000,96134,107851,34362,16520,22542,5616,2160,12.6115377536383
"8380",771000,3,2.25,1780,6120,1.5,0,0,4,9,1390,390,1927,1960,5568,60563,89761,35052,22656,25268,9679,6099,13.5554436525455
"8381",335000,4,2.5,2610,4781,2,0,0,3,8,2610,0,2009,2583,4796,71555,85389,32194,15530,21493,3623,1278,12.7218858108072
"8382",390000,3,1.75,1850,15170,1,0,0,3,7,1850,0,1965,1160,14175,93380,114017,14635,7906,10127,2721,1139,12.8739020181058
"8383",288000,3,2.25,1560,9706,1,0,0,4,7,1560,0,1963,1510,9706,45078,54713,33817,14272,21690,2015,637,12.5707157591181
"8384",403000,3,1.75,1270,10790,1,0,0,3,7,1270,0,1956,1270,10790,105449,140627,36105,19304,26215,10665,6318,12.9066918409288
"8387",408000,3,1,1420,8000,1,0,4,3,7,1420,0,1950,1780,8295,55725,76481,44839,21938,31643,6978,4482,12.9190224533863
"8388",1014250,3,1,1640,12855,1.5,0,0,5,6,1500,140,1920,2190,11262,102374,148860,32587,17207,24560,9986,7517,13.8296599810687
"8389",575000,3,2,1730,9030,1,0,0,4,7,1730,0,1956,1470,9030,79579,98318,26269,14444,19103,7289,4937,13.2621253197795
"8390",330000,3,1.75,1250,8100,1,0,0,3,7,1250,0,1951,1300,8175,58429,79111,26730,12973,18034,3308,1610,12.7068479334427
"8391",565000,3,2.25,1520,1221,3,0,0,3,8,1520,0,2013,1550,4750,77170,95689,23488,16073,19719,8553,4848,13.2445810101286
"8393",652500,4,2.5,2700,9122,2,0,0,3,9,2700,0,1990,2500,9122,100725,118764,26586,13667,18180,7016,5137,13.388566418179
"8394",582000,3,1.75,1820,3140,2,0,0,5,8,1820,0,1949,2030,5499,90625,106952,15415,9096,12025,4487,2404,13.2742257267136
"8396",235000,2,1,1270,9182,1.5,0,0,3,6,1270,0,1917,1760,9100,68342,92756,22849,12110,16469,5243,2623,12.3673407931263
"8399",579000,2,2,1870,6275,1,0,0,3,8,1870,0,2003,1670,5200,120970,152901,21185,10046,14975,5486,4300,13.2690577565551
"8400",507000,4,2,1360,2746,1.5,0,0,3,7,1360,0,1945,1960,2746,77170,95689,23488,16073,19719,8553,4848,13.1362662825733
"8401",210000,3,2.5,1040,2643,2,0,0,3,7,720,320,2004,1540,5110,55725,76481,44839,21938,31643,6978,4482,12.2548628096996
"8402",359500,4,2.75,2140,10316,2,0,0,3,8,2140,0,1993,1920,11337,71555,85389,32194,15530,21493,3623,1278,12.7924694561432
"8403",248000,3,1.75,1330,9831,1,0,0,3,7,1330,0,1987,1330,7500,71555,85389,32194,15530,21493,3623,1278,12.4211840251471
"8404",239300,3,1,1070,5750,1,0,0,3,7,1070,0,1952,1420,6500,60839,74831,25363,12091,17242,3113,1370,12.3854732738965
"8405",315000,3,2.25,1370,1533,3,0,0,3,8,1370,0,2009,1370,1125,53836,69529,46329,24878,34944,9717,4648,12.6603279178078
"8407",510000,3,1.5,1730,6240,1,0,1,3,8,1000,730,1954,1620,6240,90625,106952,15415,9096,12025,4487,2404,13.1421660047005
"8408",418000,4,1.5,1550,9176,1,0,0,3,7,1000,550,1956,1730,8539,86005,120029,24751,12214,17928,6228,3554,12.9432367115069
"8410",871000,4,2.5,2150,8536,1,0,3,4,8,1400,750,1967,2800,9500,113778,152406,37519,18235,25978,9109,6951,13.6773972558346
"8413",445000,3,1.75,1410,5100,1,0,0,4,7,1110,300,1954,1600,7800,54561,77284,39254,21120,28365,8769,6040,13.0058295611484
"8415",212000,3,1.5,1690,9600,1,0,0,3,7,1210,480,1976,1450,9647,96134,107851,34362,16520,22542,5616,2160,12.2643415536542
"8416",710000,4,2.5,2870,11304,2,0,0,3,9,2870,0,1980,2690,9940,113778,152406,37519,18235,25978,9109,6951,13.4730202490175
"8417",225800,4,1,1100,7110,1,0,0,4,7,880,220,1907,1150,7110,52713,65762,36730,16092,22367,3349,1133,12.3274049306977
"8420",248000,4,2,2080,13510,1,0,0,3,7,1040,1040,1950,2010,11625,60839,74831,25363,12091,17242,3113,1370,12.4211840251471
"8421",556000,4,2.5,2230,7200,1,0,0,4,7,1220,1010,1957,1920,7200,88940,128845,17733,9006,12834,4449,3911,13.2285235732327
"8422",319950,5,1.75,1710,11900,1,0,0,3,7,1070,640,1958,1030,10360,58429,79111,26730,12973,18034,3308,1610,12.6759200125676
"8423",320000,4,2.75,1640,3000,1,0,0,3,7,1000,640,1984,1150,4545,55725,76481,44839,21938,31643,6978,4482,12.6760762747759
"8424",245000,3,2.5,1600,2788,2,0,0,4,7,1600,0,1992,1720,3605,67793,80105,36390,17983,23631,4197,1828,12.4090134895269
"8426",628000,5,2.75,2600,8160,2,0,0,3,8,2600,0,2015,1600,8160,53836,69529,46329,24878,34944,9717,4648,13.3502954454503
"8427",640000,3,2,1380,4800,1,0,0,3,7,1380,0,1948,1740,5640,87486,126065,20871,11579,15645,6235,4309,13.3692234553359
"8428",420000,4,1.75,1320,4978,1,0,0,4,7,940,380,1942,1260,4693,68342,92756,22849,12110,16469,5243,2623,12.9480099902596
"8430",307999,4,2.75,2420,8438,2,0,0,3,8,2420,0,1996,2420,8580,62842,82984,21567,10562,15210,2174,895,12.6378518151972
"8431",749950,4,2.75,2600,6050,2,0,0,5,8,1960,640,1949,1990,6050,77781,103895,23968,13416,18608,7160,4064,13.5277618166235
"8432",290000,2,1,840,3844,1,0,0,4,6,840,0,1919,1040,3844,53836,69529,46329,24878,34944,9717,4648,12.5776362019627
"8433",235000,3,1.75,1420,7920,1,0,0,4,7,1420,0,1962,1420,7920,74144,89981,42380,20347,27351,6093,2792,12.3673407931263
"8434",225000,3,1,1790,6120,1,0,0,3,6,1790,0,1937,830,6120,58429,79111,26730,12973,18034,3308,1610,12.3238556811866
"8435",302100,3,1,1790,6120,1,0,0,3,6,1790,0,1937,830,6120,58429,79111,26730,12973,18034,3308,1610,12.6185133673748
"8437",285000,2,1,1010,7200,1,0,0,3,7,1010,0,1975,1890,9248,75839,93844,34081,17844,25173,6790,4418,12.5602444592508
"8440",377500,3,2,1370,7200,1,0,0,3,7,1130,240,1926,1300,7208,54561,77284,39254,21120,28365,8769,6040,12.8413258476712
"8441",587450,3,2.25,2190,8775,1.5,0,1,4,8,2190,0,1927,1910,8145,54561,77284,39254,21120,28365,8769,6040,13.2835464149957
"8442",245000,3,2.25,1530,12000,1,0,0,3,7,1070,460,1979,2140,13636,72303,86045,50065,25296,32832,6007,3011,12.4090134895269
"8443",2e+05,3,2,1290,5757,1,0,0,3,7,1290,0,1994,1580,6798,74144,89981,42380,20347,27351,6093,2792,12.2060726455302
"8445",607000,3,2.5,2470,9226,2,0,0,3,9,2470,0,1991,2820,11013,106545,144116,22779,11864,15725,5230,3141,13.3162840700416
"8448",250000,3,3,2300,7701,1,0,0,3,7,2300,0,1960,1570,8116,73330,94174,33944,18957,24046,6177,2986,12.4292161968444
"8449",525000,3,2.5,2030,6970,2,0,0,4,8,2030,0,1991,2000,6140,100725,118764,26586,13667,18180,7016,5137,13.1711535415738
"8450",440000,3,1.75,2000,9900,1,0,2,4,8,1480,520,1957,2310,10200,66323,89866,21087,10825,15070,3695,2129,12.9945300058944
"8453",315000,3,2,1300,3731,1,0,0,3,7,900,400,1993,1300,3731,55725,76481,44839,21938,31643,6978,4482,12.6603279178078
"8454",340000,5,1,1880,3774,1.5,0,0,3,6,1360,520,1917,1420,2550,68342,92756,22849,12110,16469,5243,2623,12.7367008965923
"8455",366000,4,2.75,2170,9743,2,0,0,3,7,2170,0,1995,1670,7734,96134,107851,34362,16520,22542,5616,2160,12.8103886123835
"8456",315000,3,1.75,1680,7250,1,0,0,3,7,930,750,1952,1340,7250,53836,69529,46329,24878,34944,9717,4648,12.6603279178078
"8457",299000,3,1.5,1190,9135,1,0,0,4,7,1190,0,1959,1520,9146,73330,94174,33944,18957,24046,6177,2986,12.6081988523728
"8458",350000,2,1,940,5000,1,0,0,3,7,940,0,1950,1800,7400,75839,93844,34081,17844,25173,6790,4418,12.7656884334656
"8459",340000,2,1.75,1010,1461,1,0,0,3,7,670,340,2003,1500,2499,87486,126065,20871,11579,15645,6235,4309,12.7367008965923
"8460",460000,3,1.75,1290,8580,1,0,0,4,7,1290,0,1962,1840,8580,105449,140627,36105,19304,26215,10665,6318,13.0389817684653
"8461",224000,3,1.5,1480,10588,1,0,0,3,7,1480,0,1957,1370,10588,45078,54713,33817,14272,21690,2015,637,12.3194013308372
"8462",140000,2,1,900,6400,1,0,0,2,6,900,0,1940,1350,6405,55725,76481,44839,21938,31643,6978,4482,11.8493977015914
"8463",246000,4,2,1400,7632,1.5,0,0,5,6,1400,0,1930,1400,7632,66323,89866,21087,10825,15070,3695,2129,12.4130868149145
"8464",330000,3,2.5,2040,14071,2,0,0,3,7,2040,0,1995,1890,14040,96630,114944,11143,5672,7326,2416,731,12.7068479334427
"8465",306000,3,1,1450,7200,1,0,0,3,7,1010,440,1969,1500,6767,81694,102856,42590,23454,30736,10266,5543,12.6313403809345
"8466",324950,3,1,1210,7440,1,0,0,3,7,1210,0,1949,1120,7440,75839,93844,34081,17844,25173,6790,4418,12.6914266033225
"8468",207000,3,1,1490,8995,1,0,0,4,7,1490,0,1954,1490,9000,49188,62468,32569,15655,21948,2957,1223,12.2404740722475
"8469",238000,3,1,1240,5700,1.5,0,0,5,6,1240,0,1953,1140,5700,73330,94174,33944,18957,24046,6177,2986,12.3800259526536
"8471",649950,3,2.5,2150,15304,2,0,0,4,9,2150,0,1979,2540,10507,113778,152406,37519,18235,25978,9109,6951,13.3846507158362
"8472",515000,3,2.75,1710,9448,1,0,0,3,7,1010,700,1947,1960,8951,49647,91786,45515,22940,20694,7943,7250,13.1519221796459
"8474",236000,4,2.5,1630,3060,2,0,0,3,7,1630,0,2003,1270,4590,58429,79111,26730,12973,18034,3308,1610,12.3715870840077
"8477",410988,3,1.75,1000,14061,1,0,0,4,7,1000,0,1967,1260,12635,106545,144116,22779,11864,15725,5230,3141,12.9263192959718
"8481",808100,4,3.25,3020,13457,1,0,0,5,9,3020,0,1956,2120,7553,53836,69529,46329,24878,34944,9717,4648,13.6024410922215
"8482",236000,3,1.75,1330,6301,1,0,0,3,7,1330,0,1998,1330,6144,45078,54713,33817,14272,21690,2015,637,12.3715870840077
"8483",330000,4,1.75,1720,8300,1,0,0,4,8,1720,0,1965,1840,8300,61736,75782,22659,12062,16157,3521,1623,12.7068479334427
"8484",799990,4,3.5,2540,5808,2,0,0,5,8,1820,720,1910,1520,5461,92316,108574,31921,19236,23976,9337,6322,13.5923545065719
"8487",332000,3,2.5,1530,9406,1,0,0,3,7,1270,260,1993,1700,7682,93918,113787,36409,18884,24796,7243,3704,12.7128902478986
"8489",239950,3,1,1140,8366,1,0,0,5,6,1140,0,1943,960,7200,82134,95411,44430,23280,30762,8545,3142,12.3881858472864
"8491",2e+05,3,1,1050,5000,1,0,0,4,6,1050,0,1967,1050,5200,73330,94174,33944,18957,24046,6177,2986,12.2060726455302
"8492",453000,3,1.75,1600,7232,1,0,0,3,8,1600,0,1966,1970,8120,86005,120029,24751,12214,17928,6228,3554,13.0236474044652
"8493",330000,3,1.75,1430,8865,1,0,0,3,7,1430,0,1950,1250,8154,54561,77284,39254,21120,28365,8769,6040,12.7068479334427
"8494",285000,4,2.5,1996,4547,2,0,0,3,7,1996,0,2009,2180,5127,89352,102333,44894,23934,31039,6640,2815,12.5602444592508
"8495",338000,4,1.75,1530,8152,1,0,0,5,6,910,620,1948,1310,8152,75839,93844,34081,17844,25173,6790,4418,12.7308011744652
"8496",264950,2,1,1000,6000,1,0,0,3,6,1000,0,1951,1250,6000,68342,92756,22849,12110,16469,5243,2623,12.4872964079209
"8498",209500,3,1.5,970,5488,1,0,0,3,7,970,0,1976,1040,5488,53848,67124,24603,13130,17270,4080,1622,12.2524790183443
"8499",380000,4,2.5,2400,9398,1,0,0,4,7,1310,1090,1958,1330,8249,73330,94174,33944,18957,24046,6177,2986,12.8479265317026
"8500",336500,3,2,1830,12891,1,0,0,3,7,1830,0,1994,2320,8709,67793,80105,36390,17983,23631,4197,1828,12.7263534280669
"8501",360000,3,2.25,2130,8466,1,0,0,3,7,1290,840,1983,2250,9682,61736,75782,22659,12062,16157,3521,1623,12.7938593104323
"8503",249900,2,1,560,7560,1,0,0,3,6,560,0,1944,990,7560,68342,92756,22849,12110,16469,5243,2623,12.428816116823
"8504",175000,4,1,1210,6250,1,0,0,3,7,1210,0,1962,1210,8291,49188,62468,32569,15655,21948,2957,1223,12.0725412529057
"8505",549950,3,2.5,2380,2500,3,0,3,3,9,2380,0,1988,2270,5000,68342,92756,22849,12110,16469,5243,2623,13.2175826439853
"8508",4e+05,3,2.25,1740,11040,2,0,0,3,8,1740,0,1980,1720,11778,90588,106180,21568,10783,14892,4806,2727,12.8992198260901
"8509",299800,2,1,790,5240,1,0,0,4,6,790,0,1925,1430,5320,55725,76481,44839,21938,31643,6978,4482,12.6108708646506
"8510",555000,3,2.5,2480,8676,2,0,0,4,8,2480,0,1989,2540,9496,73330,94174,33944,18957,24046,6177,2986,13.2267233927286
"8511",230000,3,2.5,1920,9180,2,0,0,3,8,1920,0,1988,1930,7252,61736,75782,22659,12062,16157,3521,1623,12.3458345879053
"8512",360000,4,2.5,2750,6259,2,0,0,3,9,2750,0,2002,2810,6824,74144,89981,42380,20347,27351,6093,2792,12.7938593104323
"8513",415000,2,1,880,3200,1,0,0,3,7,880,0,1910,1880,6000,87486,126065,20871,11579,15645,6235,4309,12.9360337992128
"8514",355000,4,1.75,2160,8000,1,0,0,4,9,1660,500,1976,2350,8200,72303,86045,50065,25296,32832,6007,3011,12.7798730684576
"8516",353000,5,2.75,2130,5000,1,0,0,5,7,1100,1030,1978,1340,6837,55725,76481,44839,21938,31643,6978,4482,12.7742233359154
"8518",265000,3,1.5,1780,10196,1,0,0,4,7,1270,510,1967,1320,7875,71555,85389,32194,15530,21493,3623,1278,12.4874851049684
"8519",250000,4,1.75,1910,8250,1,0,0,4,7,1910,0,1959,1500,8250,86005,120029,24751,12214,17928,6228,3554,12.4292161968444
"8520",225000,2,1,1170,7142,1,0,0,3,7,1170,0,1951,1170,7615,75839,93844,34081,17844,25173,6790,4418,12.3238556811866
"8521",553000,2,1,900,5000,1,0,0,3,7,900,0,1944,1280,5000,92316,108574,31921,19236,23976,9337,6322,13.2231132805045
"8522",565000,5,2.5,2650,11455,1,0,0,3,7,1400,1250,1961,1960,9880,86005,120029,24751,12214,17928,6228,3554,13.2445810101286
"8523",312000,2,1,1170,5150,1,0,0,3,6,980,190,1907,1660,5150,55725,76481,44839,21938,31643,6978,4482,12.6507584667916
"8525",320000,4,2.75,2150,9163,1,0,0,3,8,1340,810,1992,2260,7750,46250,61010,46008,21432,30004,4648,1865,12.6760762747759
"8526",453000,3,2,1430,9583,1,0,0,4,7,1430,0,1964,1890,11100,81694,102856,42590,23454,30736,10266,5543,13.0236474044652
"8527",320000,3,1,960,6180,1,0,0,4,6,960,0,1910,1250,4120,55725,76481,44839,21938,31643,6978,4482,12.6760762747759
"8528",610000,4,2.75,2640,8400,1,0,2,3,8,1440,1200,1947,2610,6000,62633,93145,28302,16189,21495,6420,3829,13.3212142361495
"8529",385000,3,1.5,1490,9630,1,0,0,4,8,1490,0,1959,1960,10469,90588,106180,21568,10783,14892,4806,2727,12.8609986132699
"8530",215000,3,1.75,1210,8075,1,0,0,4,6,1210,0,1983,1310,8025,71555,85389,32194,15530,21493,3623,1278,12.2783933071098
"8531",215000,4,1.5,1860,5040,1.5,0,0,5,8,1860,0,1920,1680,5800,62842,82984,21567,10562,15210,2174,895,12.2783933071098
"8532",415000,3,2.5,1980,4274,2,0,0,3,7,1980,0,2003,2000,4394,90588,106180,21568,10783,14892,4806,2727,12.9360337992128
"8535",898000,2,1.75,1490,9874,1,0,0,4,7,1490,0,1963,2280,9869,102374,148860,32587,17207,24560,9986,7517,13.7079253472843
"8536",480000,3,2.5,2980,7338,2,0,0,3,8,2980,0,2006,3010,5267,61736,75782,22659,12062,16157,3521,1623,13.0815413828841
"8543",332000,3,2,1510,7884,1,0,0,3,6,1510,0,1942,1050,7620,66323,89866,21087,10825,15070,3695,2129,12.7128902478986
"8544",445000,3,1.75,1750,7200,1,0,0,3,7,1750,0,1966,1810,7590,86005,120029,24751,12214,17928,6228,3554,13.0058295611484
"8546",752000,4,1.5,1650,2970,1.5,0,0,3,7,1650,0,1903,1670,2970,75155,103436,23655,17991,19623,8339,5895,13.530491602932
"8548",420000,3,1,1320,5500,1,0,0,3,7,1320,0,1955,1480,5250,77781,103895,23968,13416,18608,7160,4064,12.9480099902596
"8549",330000,4,2.5,2310,6320,2,0,0,3,8,2310,0,1997,1850,6181,74144,89981,42380,20347,27351,6093,2792,12.7068479334427
"8550",409000,3,1.75,1440,9065,1,0,0,4,8,1440,0,1972,1990,8812,53836,69529,46329,24878,34944,9717,4648,12.9214704350249
"8551",350000,5,1.75,2330,14322,1,0,0,4,7,1180,1150,1968,1690,10010,93918,113787,36409,18884,24796,7243,3704,12.7656884334656
"8553",315000,3,1,1390,8333,1,0,0,3,7,1390,0,1982,1320,7090,75839,93844,34081,17844,25173,6790,4418,12.6603279178078
"8555",293550,4,1.75,2120,9706,1,0,0,3,7,1370,750,1965,1730,11337,49188,62468,32569,15655,21948,2957,1223,12.5898032614923
"8556",350000,4,2.75,2300,3175,1.5,0,0,3,6,1340,960,1966,1260,3175,62633,93145,28302,16189,21495,6420,3829,12.7656884334656
"8558",442500,4,2.5,2400,7092,2,0,0,3,7,2400,0,1997,2350,8310,53836,69529,46329,24878,34944,9717,4648,13.0001957434301
"8560",506400,3,2.5,2100,9040,1,0,0,3,8,1700,400,1989,2430,8809,73330,94174,33944,18957,24046,6177,2986,13.1350821498121
"8561",324000,3,2.25,1550,4411,2,0,0,3,7,1550,0,2001,1620,4621,96630,114944,11143,5672,7326,2416,731,12.6884987947745
"8562",169000,3,1.5,1570,6450,1.5,0,0,4,6,1570,0,1931,1400,6450,62842,82984,21567,10562,15210,2174,895,12.0376539939052
"8563",595000,3,2,1480,5000,1,0,0,4,7,750,730,1928,1250,4000,92316,108574,31921,19236,23976,9337,6322,13.2963166845278
"8564",299900,3,2.5,2720,6014,2,0,0,3,7,2720,0,2002,2760,6537,74144,89981,42380,20347,27351,6093,2792,12.6112043647371
"8565",332000,3,2.25,2270,8876,1,0,0,3,7,1380,890,1977,2150,7455,82134,95411,44430,23280,30762,8545,3142,12.7128902478986
"8566",432000,4,1.75,2410,8400,1,0,0,3,7,1600,810,1978,1850,8400,76961,93562,31650,16774,22247,7402,3131,12.9761808672262
"8567",510000,4,2.75,2730,9112,1,0,2,3,9,1740,990,1996,3050,10454,55845,70268,36495,17499,25240,3891,1913,13.1421660047005
"8568",270000,3,2.5,1540,7739,2,0,0,4,7,1540,0,1986,1720,7200,52713,65762,36730,16092,22367,3349,1133,12.5061772379805
"8570",509250,2,1.5,1480,3120,1,0,0,3,7,930,550,1914,1000,3780,49647,91786,45515,22940,20694,7943,7250,13.1406943340891
"8571",189000,3,1,860,5200,1,0,0,5,6,860,0,1969,1010,5200,89352,102333,44894,23934,31039,6640,2815,12.1495022940418
"8572",726500,4,2.5,2180,3893,2,0,0,3,8,2180,0,1999,1710,4550,92316,108574,31921,19236,23976,9337,6322,13.4959937619925
"8573",287000,3,2,1300,11374,1.5,0,0,5,7,1300,0,1933,1480,9670,49188,62468,32569,15655,21948,2957,1223,12.5672374947418
"8575",316000,3,2.25,2130,8721,1,0,0,3,8,1570,560,1987,2130,9477,67793,80105,36390,17983,23631,4197,1828,12.663497492569
"8577",448000,4,1.75,2560,8270,1,0,0,3,7,1480,1080,1979,2320,8450,106545,144116,22779,11864,15725,5230,3141,13.0125485113971
